0,1,1,1,1,1
1,1,1,1,1,1
2,1,1,1,1,1
3,1,1,1,1,1
4,1,1,1,1,1
5,1,0,0,0,1
6,1,1,1,1,1
7,0,1,1,1,1
8,1,1,1,1,1
9,1,1,1,1,1
10,1,0,1,0,1
11,1,0,1,1,1
12,1,0,1,0,1
13,1,1,0,1,1
14,1,1,1,1,1
15,1,1,1,1,1
16,1,1,1,0,1
17,1,1,0,0,1
18,1,1,1,1,1
19,0,0,0,1,0
20,1,1,1,1,1
21,1,1,1,1,1
22,1,1,0,1,1
23,1,1,1,1,1
24,1,1,1,0,1
25,1,0,1,0,1
26,1,0,1,0,1
27,1,0,1,0,0
28,1,0,1,1,0
29,0,0,1,0,0
30,0,0,0,0,0
31,1,0,0,0,0
32,1,0,1,0,0
33,1,0,0,0,0
34,1,1,1,0,0
35,0,0,0,0,1
36,0,0,1,0,0
37,0,1,0,0,1
38,1,1,0,0,0
39,1,0,1,1,1
40,1,0,0,1,1
41,1,1,1,1,1
42,1,1,1,1,1
43,1,0,1,1,1
44,1,1,1,1,1
45,0,0,0,0,0
46,1,0,1,0,1
47,1,0,0,0,1
48,1,1,1,1,1
49,0,0,0,0,0
50,1,1,1,0,0
51,1,0,1,0,0
52,1,0,1,0,1
53,0,0,1,0,0
54,1,1,1,1,1
55,1,0,1,0,1
56,1,0,0,0,1
57,1,0,0,0,0
58,1,1,0,0,0
59,1,1,1,0,1
60,1,1,1,0,1
61,0,0,1,0,0
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,1,0,1
65,0,1,1,0,1
66,1,0,1,0,1
67,0,0,0,0,0
68,0,0,1,0,0
69,0,0,0,0,0
70,1,0,1,0,0
71,0,0,0,0,0
72,1,0,1,0,0
73,0,0,0,0,1
74,0,0,0,0,1
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,1
78,0,0,0,0,0
79,1,0,0,0,0
80,0,0,0,0,0
81,0,0,0,0,0
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,1,1,1,1,1
86,0,0,0,0,0
87,1,1,1,1,1
88,1,1,1,1,1
89,1,1,1,1,1
90,1,1,1,1,1
91,1,1,1,1,1
